Issue #,Title,HTML URL,Date Filed,Status,Closed Date,Labels,Assignees,Milestone,Body Snippet (MRE/Backtrace hint),Linked PRs (URL;Author;Status),Guessed Kind,Guessed CPython Versions,Guessed Configurations
126219,`tkinter.Tk` segfault with invalid `className`,https://github.com/python/cpython/issues/126219,2024-10-31,open,,extension-modules;topic-tkinter;type-crash;3.12;3.13;3.14,,,"# Crash report\n\n### What happened?\n\nIt's possible to crash Python by passing an invalid `className` to `_tkinter.create`, for example:\n```python\nimport  _tkinter \n_tkinter.create(None, '', '\U0010FFFF', None)\n```\n\nOr, using `tkinter.Tk` (repro thanks to @graingert and @JelleZijlstra):\n```python\n% ./python.exe \nPython 3.14.0a0 experimental free-threading build (heads/gh-125331:c315120a535, Oct 30 2024, 11:22:31) [Clang 15.0.0 (clang-1500.3.9.4)] on darwin\nType ""help"", ""copyright"", ""credits"" or ""license"" for more information....",,Segfault/Crash,3.12;3.13;3.14,
126220,`_lsprof.Profiler._creturn_callback()` segfaults,https://github.com/python/cpython/issues/126220,2024-10-31,closed,2024-11-06,extension-modules;type-crash;3.12;3.13;3.14,sobolevn,,"# Crash report\n\n### What happened?\n\nIt's possible to crash Python by simply calling the `._creturn_callback()` or the `._ccall_callback()` methods of the `Profiler` class in either `_lsprof` or `cProfile`.\n\n```python\nfrom _lsprof import Profiler\nProfiler()._creturn_callback()\nProfiler()._ccall_callback()\n```\n\nBacktrace looks like:\n```gdb\nProgram received signal SIGSEGV, Segmentation fault....",,Segfault/Crash,3.12;3.13;3.14,
126221,`sre_constants._makecodes` segfaults in JIT builds,https://github.com/python/cpython/issues/126221,2024-10-31,closed,2024-10-31,interpreter-core;type-crash;topic-JIT,,,"# Crash report\n\n### What happened?\n\nIt's possible to crash a JIT build of Python (or abort, if it's a debug build) by passing an invalid parameter to `sre_constants._makecodes`:\n\n```python\nimport sre_constants\nsre_constants._makecodes("""", {}, 10)\n```\n\nBacktrace on non-debug JIT build looks like:\n```gdb\nProgram received signal SIGSEGV, Segmentation fault.\n_PyEval_EvalFrameDefault (tstate=0x555555b3f440 <_PyRuntime+313216>, frame=0x7ffff7fb0098, throwflag=<optimized out>) at Python/generated_cases.c.h:6753...",,Segfault/Crash,,
126223,`SystemError` caused by `_interpreters.create()` with invalid unicode argument,https://github.com/python/cpython/issues/126223,2024-10-31,closed,2024-10-31,type-bug;extension-modules;topic-subinterpreters;3.13;3.14,,,"# Bug report\n\n### Bug description:\n\nIt's possible to make a debug build of Python abort by passing an invalid Unicode argument to `_interpreters.create()`, resulting in `SystemError: <built-in function create> returned a result with an exception set`.\n\n```python\n$ ./python -c ""import _interpreters; _interpreters.create('\udc80')""\nFatal Python error: _Py_CheckFunctionResult: a function returned a result with an exception set\nPython runtime state: initialized\nUnicodeEncodeError: 'utf-8' codec can't encode character '\udc80' in position 0: surrogates not allowed\n\nThe above exception was the direct cause of the following exception:\n\nSystemError: <built-in function create> returned a result with an exception set...",,SystemError,3.13;3.14,
126312,GC aborts in debug no-gil build,https://github.com/python/cpython/issues/126312,2024-11-01,closed,2024-11-15,extension-modules;type-crash;3.13;topic-free-threading;3.14,,,"# Crash report\n\n### What happened?\n\nIn debug no-gil builds with `PYTHON_GIL=0`, it's possible to trigger the three assertions here with simple code:\nhttps://github.com/python/cpython/blob/c84a136511c673f495f466887716b55c13b7e3ac/Python/gc_free_threading.c#L550-L558\n\nFor this code:\n```python\nimport gc\ngc.freeze()\ngc.is_finalized(lambda: None)\ngc.collect()\ngc.unfreeze()\ngc.collect()...",,Abort/AssertionError,3.13;3.14,
126313,`curses.napms()` aborts with a `SystemError`,https://github.com/python/cpython/issues/126313,2024-11-01,closed,2024-11-04,extension-modules;type-crash;3.13;3.14,picnixz,,"# Crash report\n\n### What happened?\n\nThe abort happens on normal and no-gil debug builds, release builds also hit the `SystemError`.\n\n```python\nimport curses\ncurses.napms(37)\n```\n\nError is:\n```\nFatal Python error: _Py_CheckFunctionResult: a function returned a result with an exception set\nPython runtime state: initialized...",,Abort/AssertionError,3.13;3.14,
126314,Running `tracemalloc` in threads segfaults on no-gil,https://github.com/python/cpython/issues/126314,2024-11-01,closed,2025-03-14,interpreter-core;type-crash;3.13;topic-free-threading;3.14,,,"# Crash report\n\n### What happened?\n\nThis crash only happens on a no-gil build (only debug tested) with `PYTHON_GIL=0`. \n\n```python\n# This segfaults with PYTHON_GIL=0, works with PYTHON_GIL=1\nfrom threading import Thread\nimport tracemalloc\n\nalive = [\n    Thread(target=tracemalloc.take_snapshot, args=()),\n    Thread(target=tracemalloc.clear_traces, args=()),\n]...",,Segfault/Crash,3.13;3.14,
126315,`tracemalloc` aborts when run from threads in no-gil,https://github.com/python/cpython/issues/126315,2024-11-01,open,,interpreter-core;type-crash;3.13;topic-free-threading;3.14,,,"# Crash report\n\n### What happened?\n\nIt's possible to get two different aborts from failed assertions, only with `PYTHON_GIL=0`, using the code below:\n\n```python\nfrom threading import Thread\nimport _tracemalloc\n\nalive = [\n    Thread(target=_tracemalloc.start, args=(\n        (memoryview(bytearray(b""abc\xe9\xff"")),))),\n    Thread(target=_tracemalloc.start, args=()),\n    Thread(target=_tracemalloc.get_traceback_limit, args=()),...",,Abort/AssertionError,3.13;3.14,
126316,`grp` is not thread safe,https://github.com/python/cpython/issues/126316,2024-11-01,closed,2024-11-21,extension-modules;type-crash;topic-subinterpreters;3.13;topic-free-threading;3.14,,,"# Crash report\n\n### What happened?\n\nIt's possible to crash `grp` in a no-gil build by repeatedly calling functions in threads, it only happens with `PYTHON_GIL=0`.\n\n```python\nfrom threading import Thread\nimport grp\n\nfor x in range(5000):\n    alive = [\n        Thread(target=grp.getgrgid, args=(1,)),\n        Thread(target=grp.getgrall),\n        Thread(target=grp.getgrnam, args=('root',)),...",,,3.13;3.14,
126341,`SystemError` from calling `__iter__` on a released `memoryview`,https://github.com/python/cpython/issues/126341,2024-11-03,closed,2024-11-13,interpreter-core;easy;type-crash;3.12;3.13;3.14,ritvikpasham,,"# Crash report\n\n### What happened?\n\nThe code below causes a `SystemError` on all tested Python versions in Windows and Linux. In a no-gil debug build of main, besides the expected abort, sometimes a segfault occurs.\n\n```python\nfrom threading import Thread\n\nav = memoryview(b""something"")\nav.release()\n\nalive = [\n    Thread(target=av.release, args=('/bin/sh')),\n    Thread(target=av.__iter__, args=())...",,SystemError,3.12;3.13;3.14,
126366,Abort in free-threaded build due to mutation of `ChainMap` of a `Counter` in threads,https://github.com/python/cpython/issues/126366,2024-11-03,closed,2025-04-18,interpreter-core;type-crash;3.13;topic-free-threading;3.14,,,"### What happened?\n\nThe code below, in a no-gil debug build with `PYTHON_GIL=0`, results in the following abort:\n```\npython: ./Include/internal/pycore_stackref.h:99: _PyStackRef_FromPyObjectSteal: Assertion `obj != NULL' failed.\nAborted\n```\n\n```python\nfrom threading import Thread\nfrom collections import ChainMap, Counter\n\ncounter = Counter(range(100))\nchainmap = ChainMap(counter)\nchainmap2 = ChainMap(counter)...",,Abort/AssertionError,3.13;3.14,
126455,Calling many methods on `_ssl._SSLSocket()` segfaults,https://github.com/python/cpython/issues/126455,2024-11-05,closed,2024-11-06,extension-modules;type-crash;topic-SSL;3.12;3.13;3.14,ZeroIntensity,,"# Crash report\n\n### What happened?\n\nCalling many different methods on a `_ssl._SSLSocket()` instance causes a segfault, for example:\n```python\nimport _ssl\ns = _ssl._SSLSocket()\ns.shutdown()\n# Segmentation fault\n```\n\nOther methods known to segfault are `do_handshake`, `get_channel_binding`, `get_verified_chain` (but not `get_unverified_chain`), `getpeercert`, `read`, `verify_client_post_handshake`, `write`. Backtrace looks like:\n```gdb\n#0  0x00007ffff7b89129 in SSL_shutdown () from /lib/x86_64-linux-gnu/libssl.so.3...",,Segfault/Crash,3.12;3.13;3.14,
